id,reviews,rating
2595,48,94.0
3831,322,89.0
5099,78,90.0
5121,50,90.0
5178,473,84.0
5203,118,98.0
5238,161,94.0
5441,213,97.0
5552,66,97.0
5803,180,94.0
6021,123,93.0
6090,27,97.0
6848,181,91.0
6990,233,98.0
7097,224,97.0
8490,112,95.0
9657,33,94.0
9668,261,88.0
9704,98,98.0
9783,288,89.0
10452,75,93.0
10962,179,95.0
11708,266,87.0
12048,219,96.0
12192,262,88.0
12343,107,96.0
12627,13,97.0
12937,280,98.0
12940,66,89.0
13050,12,95.0
13394,143,94.0
13677,69,97.0
13808,140,93.0
14290,94,94.0
14314,396,97.0
14322,20,96.0
14377,113,97.0
14991,19,98.0
15220,324,93.0
15341,25,91.0
15385,49,97.0
15711,82,94.0
15729,25,79.0
15962,58,87.0
16326,149,99.0
16338,28,92.0
16421,195,89.0
16580,399,95.0
16595,168,94.0
16821,117,93.0
16974,212,97.0
17037,53,96.0
17092,29,90.0
17693,60,98.0
17747,128,99.0
18127,21,97.0
18195,22,99.0
18198,27,100.0
18590,152,97.0
18728,184,99.0
18764,63,89.0
19159,56,94.0
19169,77,88.0
19282,17,94.0
19601,25,93.0
20611,193,94.0
20717,43,98.0
20724,30,86.0
20755,19,89.0
20913,168,81.0
21293,133,89.0
21456,82,93.0
21794,36,99.0
22911,139,92.0
23135,259,94.0
23545,219,95.0
23686,49,88.0
24143,352,96.0
24285,88,96.0
25235,170,92.0
25406,29,92.0
25696,190,95.0
26012,20,98.0
26362,374,91.0
26520,29,96.0
26559,12,97.0
26785,470,99.0
26969,342,96.0
27006,28,92.0
27024,435,90.0
27385,124,94.0
27531,360,98.0
27644,209,95.0
27659,16,95.0
27759,20,92.0
27883,25,97.0
28907,21,99.0
29013,64,93.0
29455,166,92.0
29628,281,98.0
29683,100,95.0
30031,196,98.0
31130,66,97.0
31555,28,93.0
31994,457,90.0
32023,263,93.0
32037,92,97.0
32289,10,100.0
32965,141,92.0
33009,252,99.0
33014,34,88.0
33156,19,100.0
35526,85,99.0
36133,165,94.0
36647,34,95.0
36703,136,98.0
36934,27,88.0
37042,25,99.0
37197,64,90.0
38638,133,95.0
38663,23,93.0
39267,261,83.0
39282,218,96.0
39572,44,97.0
39586,181,91.0
39593,29,98.0
39704,337,94.0
42300,57,95.0
42580,322,91.0
42729,169,92.0
42882,176,96.0
43726,11,96.0
44096,277,98.0
44161,193,95.0
44212,96,95.0
44229,231,94.0
44288,89,95.0
44472,26,100.0
44506,97,90.0
45393,38,97.0
45542,18,96.0
45556,249,98.0
45910,13,88.0
45936,129,93.0
45940,35,98.0
46544,58,94.0
46911,51,95.0
47199,220,96.0
47362,30,89.0
48719,116,95.0
50447,168,96.0
51850,53,88.0
53137,10,60.0
53196,11,98.0
53469,33,87.0
53477,39,95.0
54158,370,94.0
54453,10,90.0
54508,403,97.0
54544,122,92.0
54626,181,98.0
54694,62,87.0
54860,228,97.0
55498,42,99.0
55959,92,96.0
55982,37,96.0
56859,207,93.0
57166,36,93.0
57297,239,94.0
57468,205,95.0
57618,107,96.0
57754,119,99.0
57874,252,97.0
58059,512,94.0
58062,25,94.0
58467,22,96.0
59014,57,93.0
59709,21,90.0
59855,82,92.0
60164,106,87.0
60457,12,98.0
60611,187,97.0
60666,215,94.0
60680,154,90.0
60948,151,89.0
61167,21,92.0
61224,35,92.0
61509,92,85.0
62427,61,96.0
62430,129,91.0
62452,213,89.0
62461,165,87.0
62468,30,96.0
62787,198,88.0
62891,197,85.0
62903,68,98.0
62925,128,96.0
63003,123,97.0
63320,412,92.0
63360,480,93.0
63546,46,88.0
63610,43,98.0
63657,268,92.0
63693,153,87.0
63719,41,94.0
64000,14,98.0
64107,308,96.0
64277,19,90.0
64314,112,98.0
64361,69,91.0
64365,244,96.0
64837,215,91.0
65200,80,88.0
65268,63,98.0
65615,55,93.0
65660,157,90.0
65813,20,98.0
65834,11,100.0
66008,68,97.0
66251,90,99.0
66275,142,97.0
66718,209,87.0
66741,250,96.0
66974,83,100.0
67288,28,97.0
67299,61,98.0
67397,112,96.0
68099,112,84.0
68305,66,91.0
68735,33,99.0
68765,137,99.0
68974,215,97.0
69894,50,96.0
70128,53,97.0
70279,64,83.0
70609,54,94.0
71010,35,99.0
71248,48,96.0
71366,42,97.0
71384,50,100.0
72190,38,91.0
74073,89,100.0
74240,70,93.0
74333,35,82.0
74680,223,93.0
74821,47,93.0
75193,263,94.0
75635,321,96.0
76761,434,97.0
77765,38,98.0
77936,46,95.0
80493,202,87.0
80924,37,97.0
82549,67,97.0
82550,93,96.0
82638,263,96.0
82928,71,98.0
83243,250,89.0
83847,44,98.0
84010,16,98.0
84659,437,94.0
86215,166,95.0
87279,136,94.0
89621,238,89.0
93313,98,94.0
94035,51,98.0
94477,411,95.0
94783,112,97.0
95747,13,100.0
96471,13,100.0
98663,19,96.0
99070,136,99.0
99085,16,100.0
99662,28,86.0
100002,151,94.0
100184,47,94.0
100186,102,99.0
100368,32,97.0
101053,37,98.0
102995,45,93.0
103161,133,96.0
105469,15,98.0
105510,18,86.0
105790,590,98.0
106363,417,97.0
106647,97,97.0
107630,269,95.0
107895,59,92.0
110739,58,98.0
112359,58,93.0
112435,177,92.0
113265,270,95.0
113945,120,96.0
114229,74,98.0
115535,37,96.0
115678,367,91.0
115748,32,91.0
116551,170,90.0
116940,249,92.0
117425,96,90.0
118061,85,96.0
121687,55,90.0
121861,23,99.0
123784,169,94.0
125053,83,99.0
125163,40,99.0
125594,85,91.0
126443,462,87.0
128975,128,92.0
131154,198,98.0
132516,31,94.0
132661,74,97.0
132695,15,100.0
133025,131,97.0
134934,27,92.0
135393,290,95.0
135465,99,96.0
135706,10,96.0
136493,19,98.0
137121,104,93.0
137671,29,89.0
139624,76,87.0
140133,171,98.0
140425,115,94.0
140973,78,94.0
