id,hood,zipcode,guests,sqft,price
53470,Queens,11385,7,,160
53477,Queens,11379,12,1750.0,265
54158,Brooklyn,11249,5,,249
54453,Manhattan,10019,1,,105
54466,Manhattan,10026,2,200.0,200
54508,Brooklyn,11217,2,,100
54544,Manhattan,10027,5,,160
54626,Bronx,10452,2,,42
54694,Queens,11434,2,,55
54860,Manhattan,10035,2,,100
55498,Brooklyn,11233,2,100.0,71
55959,Brooklyn,11211,1,,55
55982,Brooklyn,11217,1,,85
56859,Manhattan,10027,2,,75
57166,Queens,11105,4,,140
57297,Brooklyn,11201,3,500.0,159
57468,Manhattan,10003,2,,189
57618,Manhattan,10019,4,,250
57740,Manhattan,10003,2,,239
57754,Manhattan,10010,2,800.0,195
57874,Manhattan,10027,2,,155
57901,Manhattan,10025,1,,70
58059,Manhattan,10031,3,0.0,60
58062,Brooklyn,11215,4,350.0,139
58467,Manhattan,10044,2,,120
59014,Manhattan,10002,2,,150
59121,Queens,11385,9,1100.0,145
59709,Manhattan,10002,5,,200
59855,Manhattan,10022,4,,250
60164,Manhattan,10013,6,2000.0,500
60193,Manhattan,10027,3,550.0,150
60457,Manhattan,10003,3,,225
60611,Manhattan,10029,2,,100
60666,Manhattan,10027,3,,110
60673,Manhattan,10027,2,,175
60680,Manhattan,10009,6,,99
60794,Manhattan,10025,6,,195
60948,Manhattan,10027,5,,140
61167,Manhattan,10013,4,,135
61224,Manhattan,10011,4,,900
61509,Manhattan,10022,3,,110
62427,Manhattan,10003,2,,130
62430,Brooklyn,11221,3,,99
62452,Staten Island,10301,2,150.0,38
62461,Staten Island,10301,2,,38
62468,Manhattan,nan,2,,170
62787,Staten Island,10301,2,125.0,37
62891,Manhattan,10009,3,,175
62903,Manhattan,10011,2,,205
62925,Brooklyn,11222,4,,285
63003,Manhattan,10010,2,120.0,103
63320,Staten Island,10301,2,125.0,38
63360,Queens,11103,5,,129
63546,Brooklyn,11218,2,,39
63573,Brooklyn,11215,2,,60
63588,Bronx,10473,3,,90
63610,Bronx,10475,2,,110
63657,Brooklyn,11216,2,,135
63693,Manhattan,10009,4,,390
63719,Brooklyn,11216,2,,70
63913,Manhattan,10034,2,176.0,75
64000,Brooklyn,11211,1,,60
64015,Manhattan,10003,2,,200
64107,Brooklyn,11216,2,,100
64277,Brooklyn,11216,2,,70
64314,Brooklyn,11216,2,,75
64361,Manhattan,10009,2,,105
64365,Brooklyn,11216,3,,60
64837,Manhattan,10009,2,,68
65200,Brooklyn,11216,1,,36
65268,Brooklyn,11216,3,16.0,75
65556,Brooklyn,11249,1,,60
65562,Manhattan,10009,3,,129
65615,Brooklyn,11211,2,500.0,130
65660,Brooklyn,11211,3,,95
65813,Manhattan,10031,1,,75
65834,Brooklyn,11215,2,,175
66008,Brooklyn,11231,4,,190
66251,Manhattan,10009,2,750.0,212
66275,Manhattan,10002,5,,95
66718,Manhattan,10027,5,,135
66741,Brooklyn,11215,5,,150
66974,Brooklyn,11217,3,750.0,190
67288,Manhattan,10029,2,,124
67299,Brooklyn,11249,4,,98
67397,Manhattan,10026,2,,122
68099,Manhattan,10025,1,,109
68305,Manhattan,10031,1,,85
68735,Manhattan,10024,2,,199
68765,Brooklyn,11231,5,,250
68900,Brooklyn,11222,2,,125
68974,Manhattan,10002,6,1500.0,575
69894,Manhattan,10023,2,,150
70128,Manhattan,10003,1,,65
70279,Brooklyn,11231,8,,155
70609,Manhattan,10009,7,,500
71010,Manhattan,10032,5,,265
71248,Manhattan,10002,2,,130
71366,Manhattan,10014,2,,200
71384,Brooklyn,11222,4,,229
71812,Bronx,10468,2,,98
72190,Manhattan,10023,2,,110
73246,Manhattan,10025,2,84.0,60
74073,Brooklyn,11211,4,600.0,195
74240,Brooklyn,nan,2,,169
74333,Manhattan,10035,3,,113
74680,Queens,11102,3,350.0,115
74821,Manhattan,10027,5,,149
74860,Brooklyn,11222,3,,75
75193,Brooklyn,11211,1,,53
75635,Manhattan,10002,3,,150
76761,Brooklyn,11215,6,,169
77765,Brooklyn,11222,2,,179
77936,Manhattan,10036,2,,150
78919,Brooklyn,11217,4,1600.0,135
80493,Manhattan,10009,2,,65
80684,Brooklyn,11222,4,,349
80700,Brooklyn,11222,4,,349
80924,Brooklyn,11215,5,,165
81739,Brooklyn,11222,4,,249
82549,Brooklyn,11201,1,,100
82550,Brooklyn,11201,4,,200
82638,Manhattan,10009,2,,169
82928,Brooklyn,11216,5,,185
83243,Brooklyn,11221,2,,65
83391,Manhattan,10013,2,565.0,240
83446,Brooklyn,11205,3,1000.0,130
83847,Manhattan,10009,2,,143
84010,Brooklyn,11222,2,,179
84059,Brooklyn,11216,6,,150
84659,Manhattan,10003,2,,159
86215,Manhattan,10002,6,,199
87279,Manhattan,10035,1,,69
89621,Brooklyn,11216,3,,90
93313,Brooklyn,11216,5,800.0,120
94035,Queens,11103,2,,80
94209,Brooklyn,11213,2,,100
94477,Brooklyn,11221,6,,175
94783,Brooklyn,11216,2,900.0,120
95747,Brooklyn,11211,2,,140
95883,Brooklyn,11205,6,,200
96471,Brooklyn,11238,5,,165
98663,Manhattan,10001,2,,130
99070,Manhattan,10029,1,,60
99085,Brooklyn,11217,2,,123
99662,Manhattan,10002,2,,135
100002,Manhattan,10033,2,,67
100184,Queens,11427,2,,50
100186,Brooklyn,11215,3,,130
100368,Manhattan,10011,2,1200.0,279
101053,Brooklyn,11211,6,,100
102995,Manhattan,10024,3,700.0,212
103161,Brooklyn,11249,2,,95
