category,date,downloads
Linux,2019-09-21,2265181
Linux,2019-09-22,2169643
Linux,2019-09-23,3111145
Linux,2019-09-24,3266033
Linux,2019-09-25,3237271
Linux,2019-09-26,3275592
Linux,2019-09-27,3158150
Linux,2019-09-28,2277048
Linux,2019-09-29,2252729
Linux,2019-09-30,3136901
Linux,2019-10-01,3275796
Linux,2019-10-02,3369324
Linux,2019-10-03,3269352
Linux,2019-10-04,3120647
Linux,2019-10-05,2299339
Linux,2019-10-06,2261469
Linux,2019-10-07,3190195
Linux,2019-10-08,3170074
Linux,2019-10-09,3128295
Linux,2019-10-10,3171324
Linux,2019-10-11,3066692
Linux,2019-10-12,2186585
Linux,2019-10-13,2120213
Linux,2019-10-14,2965339
Linux,2019-10-15,3003181
Linux,2019-10-16,3058789
Linux,2019-10-17,3119040
Linux,2019-10-18,3107824
Linux,2019-10-19,2314074
Linux,2019-10-20,2227521
Linux,2019-10-21,3143528
Linux,2019-10-22,3127440
Linux,2019-10-23,3341212
Linux,2019-10-24,3316415
Linux,2019-10-25,3132595
Linux,2019-10-26,2247856
Linux,2019-10-27,2169226
Linux,2019-10-28,3009261
Linux,2019-10-29,3079886
Linux,2019-10-30,3231571
Linux,2019-10-31,3230012
Linux,2019-11-01,3027839
Linux,2019-11-02,2178971
Linux,2019-11-03,2125634
Linux,2019-11-04,3034509
Linux,2019-11-05,3210068
Linux,2019-11-06,3219848
Linux,2019-11-07,3260181
Linux,2019-11-08,3199024
Linux,2019-11-09,2200082
Linux,2019-11-10,2232888
Linux,2019-11-11,3157408
Linux,2019-11-12,3388457
Linux,2019-11-13,3400528
Linux,2019-11-14,3308822
Linux,2019-11-15,3203023
Linux,2019-11-16,2276212
Linux,2019-11-17,2175866
Linux,2019-11-18,3182664
Linux,2019-11-19,3233970
Linux,2019-11-20,3235163
Linux,2019-11-21,3226145
Linux,2019-11-22,3218604
Linux,2019-11-23,2353811
Linux,2019-11-24,2192684
Linux,2019-11-25,3245849
Linux,2019-11-26,3371633
Linux,2019-11-27,3190642
Linux,2019-11-28,2854110
Linux,2019-11-29,2666825
Linux,2019-11-30,2168329
Linux,2019-12-01,2173598
Linux,2019-12-02,3150815
Linux,2019-12-03,3335380
Linux,2019-12-04,3247605
Linux,2019-12-05,3327846
Linux,2019-12-06,3121428
Linux,2019-12-07,2214282
Linux,2019-12-08,2177717
Linux,2019-12-09,3191331
Linux,2019-12-10,3338726
Linux,2019-12-11,3294737
Linux,2019-12-12,3278527
Linux,2019-12-13,3140118
Linux,2019-12-14,2223765
Linux,2019-12-15,2142827
Linux,2019-12-16,3119195
Linux,2019-12-17,3291083
Linux,2019-12-18,3226466
Linux,2019-12-19,3115004
Linux,2019-12-20,3039258
Linux,2019-12-21,2095214
Linux,2019-12-22,1990232
Linux,2019-12-23,2652746
Linux,2019-12-24,2462369
Linux,2019-12-25,2187722
Linux,2019-12-26,2448472
Linux,2019-12-27,2552083
Linux,2019-12-28,2102527
Linux,2019-12-29,2129278
Linux,2019-12-30,2546982
Linux,2019-12-31,2412085
Linux,2020-01-01,2063248
Linux,2020-01-02,2674386
Linux,2020-01-03,2781441
Linux,2020-01-04,2107173
Linux,2020-01-05,2061548
Linux,2020-01-06,2868753
Linux,2020-01-07,3108863
Linux,2020-01-08,3159070
Linux,2020-01-09,3217077
Linux,2020-01-10,3087957
Linux,2020-01-11,2149349
Linux,2020-01-12,2103097
Linux,2020-01-13,2977942
Linux,2020-01-14,3156255
Linux,2020-01-15,2995394
Linux,2020-01-16,2995390
Linux,2020-01-17,2893029
Linux,2020-01-18,2044722
Linux,2020-01-19,1995400
Linux,2020-01-20,2716062
Linux,2020-01-21,2968310
Linux,2020-01-22,3129088
Linux,2020-01-23,3116991
Linux,2020-01-24,3068779
Linux,2020-01-25,2114747
Linux,2020-01-26,2018133
Linux,2020-01-27,2975443
Linux,2020-01-28,3100215
Linux,2020-01-29,3105976
Linux,2020-01-30,3248809
Linux,2020-01-31,3133962
Linux,2020-02-01,2185413
Linux,2020-02-02,2113104
Linux,2020-02-03,3093788
Linux,2020-02-04,3244037
Linux,2020-02-05,3191414
Linux,2020-02-06,3280760
Linux,2020-02-07,3278786
Linux,2020-02-08,2023135
Linux,2020-02-09,1984523
Linux,2020-02-10,3027609
Linux,2020-02-11,3182268
Linux,2020-02-12,3210383
Linux,2020-02-13,3148329
Linux,2020-02-14,3068414
Linux,2020-02-15,2054753
Linux,2020-02-16,1975123
Linux,2020-02-17,2823268
Linux,2020-02-18,3173163
Linux,2020-02-19,3151123
Linux,2020-02-20,3204171
Linux,2020-02-21,3016021
Linux,2020-02-22,1995692
Linux,2020-02-23,1887724
Linux,2020-02-24,2937481
Linux,2020-02-25,3248002
Linux,2020-02-26,3234191
Linux,2020-02-27,3273870
Linux,2020-02-28,3013927
Linux,2020-02-29,2050318
Linux,2020-03-01,2005187
Linux,2020-03-02,2993062
Linux,2020-03-03,3228481
Linux,2020-03-04,3221105
Linux,2020-03-05,3174205
Linux,2020-03-06,3048985
Linux,2020-03-07,2054803
Linux,2020-03-08,1984268
Linux,2020-03-09,3089302
Linux,2020-03-10,3044220
Linux,2020-03-11,3022554
Linux,2020-03-12,3042042
Linux,2020-03-13,2904447
Linux,2020-03-14,2049292
null,2019-09-16,70379
null,2019-09-17,77128
null,2019-09-18,77630
null,2019-09-19,77706
null,2019-09-20,71622
null,2019-09-21,40671
null,2019-09-22,41261
null,2019-09-23,72444
null,2019-09-24,78446
null,2019-09-25,76867
null,2019-09-26,76016
null,2019-09-27,67243
null,2019-09-28,39570
null,2019-09-29,38644
null,2019-09-30,71136
null,2019-10-01,73605
null,2019-10-02,72493
null,2019-10-03,73204
null,2019-10-04,77863
null,2019-10-05,49459
null,2019-10-06,50872
null,2019-10-07,82447
null,2019-10-08,83706
null,2019-10-09,86747
null,2019-10-10,85318
null,2019-10-11,84137
null,2019-10-12,52142
null,2019-10-13,53023
null,2019-10-14,79168
null,2019-10-15,84255
null,2019-10-16,91804
null,2019-10-17,88765
null,2019-10-18,82988
null,2019-10-19,51025
null,2019-10-20,51471
null,2019-10-21,81904
null,2019-10-22,80887
null,2019-10-23,80200
null,2019-10-24,82657
null,2019-10-25,80357
null,2019-10-26,43121
null,2019-10-27,43601
null,2019-10-28,75180
null,2019-10-29,75394
null,2019-10-30,75038
null,2019-10-31,72432
null,2019-11-01,66093
null,2019-11-02,39111
null,2019-11-03,34958
null,2019-11-04,64145
null,2019-11-05,64737
null,2019-11-06,62924
